Ensembl Gene ID	max
ENSG00000223972	0.2388
ENSG00000227232	13.25
ENSG00000243485	0.3658
ENSG00000237613	0.0
ENSG00000268020	0.0
ENSG00000240361	0.0
ENSG00000186092	0.0
ENSG00000238009	0.377
ENSG00000233750	0.1851
ENSG00000237683	39.05
ENSG00000268903	23.41
ENSG00000269981	36.77
ENSG00000239906	7.117
ENSG00000241860	0.5694
ENSG00000222623	0.0
ENSG00000241599	0.0292
ENSG00000228463	1.268
ENSG00000241670	1.351
ENSG00000237094	3.789
ENSG00000250575	0.04988
ENSG00000233653	0.008257
ENSG00000224813	0.2863
ENSG00000235249	0.0
ENSG00000269732	0.0
ENSG00000256186	0.0
ENSG00000236743	0.03078
ENSG00000236601	0.0
ENSG00000236679	0.0
ENSG00000231709	0.2303
ENSG00000235146	0.0
ENSG00000239664	0.07626
ENSG00000230021	0.5338
ENSG00000223659	0.1472
ENSG00000225972	117.7
ENSG00000225630	1437.0
ENSG00000237973	1216.0
ENSG00000229344	418.0
ENSG00000268663	0.03274
ENSG00000185097	0.0
ENSG00000229376	0.2433
ENSG00000224956	22.39
ENSG00000235373	0.1897
ENSG00000223181	0.0
ENSG00000240618	0.9208
ENSG00000229905	0.08704
ENSG00000228327	11.17
ENSG00000237491	1.814
ENSG00000230092	0.7521
ENSG00000269831	0.0
ENSG00000177757	0.6169
ENSG00000240453	0.2451
ENSG00000225880	5.166
ENSG00000228794	13.87
ENSG00000230368	0.1997
ENSG00000234711	0.1825
ENSG00000269308	0.0
ENSG00000272438	0.6093
ENSG00000230699	0.0
ENSG00000223764	9.232
ENSG00000187634	15.02
ENSG00000268179	0.0
ENSG00000188976	44.24
ENSG00000187961	13.33
ENSG00000187583	31.09
ENSG00000187642	59.2
ENSG00000272512	7.88
ENSG00000188290	24.91
ENSG00000231702	0.2909
ENSG00000224969	0.277
ENSG00000187608	314.0
ENSG00000188157	52.39
ENSG00000242590	49.27
ENSG00000217801	5.704
ENSG00000273443	2.643
ENSG00000237330	14.83
ENSG00000131591	19.12
ENSG00000223823	0.5655
ENSG00000207730	0.7048
ENSG00000207607	0.536
ENSG00000198976	1.447
ENSG00000272141	36.81
ENSG00000205231	4.242
ENSG00000162571	31.25
ENSG00000186891	14.81
ENSG00000186827	11.14
ENSG00000078808	89.68
ENSG00000176022	10.99
ENSG00000184163	7.811
ENSG00000260179	0.4968
ENSG00000160087	44.36
ENSG00000230415	10.53
ENSG00000162572	26.58
ENSG00000131584	249.0
ENSG00000169972	12.58
ENSG00000127054	52.46
ENSG00000240731	26.35
ENSG00000224051	57.64
