start	dup	noortho
25582381	0	0
25922420	0	0
26788693	1	0
27111510	0	1
27216429	1	3
28000021	0	0
28356186	1	0
28623767	6	0
28764757	6	0
28947100	6	0
29129629	0	0
29412457	1	0
29560353	1	4
29991571	1	0
30375158	6	0
30427352	6	0
30653443	2	5
30695943	6	0
30844183	6	0
30896329	6	0
30916697	0	6
31196055	0	0
31231144	0	0
31293264	0	0
31619058	0	3
31775329	0	0
32322691	0	7
32684983	6	0
32737307	6	0
32885657	6	0
32907345	0	7
32933877	0	1
33010175	0	1
33057747	2	1
33603163	1	0
34158428	0	2
34260921	0	0
34376218	1	0
34394274	0	11
34432875	2	0
34517200	0	0
34525460	2	0
