start	dup	noortho
194308402	0	1
194361517	0	0
194406622	1	2
194789008	0	3
194995465	1	0
195241221	1	0
195295573	1	0
195447753	0	1
195473636	0	2
195590235	0	1
195754054	0	0
195924320	1	1
195938358	0	0
195941093	0	1
195975101	2	1
196018090	2	1
196042953	0	1
196046213	0	1
196074533	1	1
196195654	2	1
196233748	1	2
196281056	0	1
196295482	0	1
196366557	0	0
196366646	0	1
196433148	1	0
196466728	2	0
196594727	1	0
196662273	3	1
196673214	2	1
196715492	1	0
196769431	0	0
197236654	1	0
197398264	0	0
197464050	2	0
197518097	0	0
197615946	0	1
197676858	6	0
197687071	0	1
