start	dup	noortho
28915742	0	0
28943260	0	0
28962128	0	0
28985542	0	0
28996147	0	1
29454551	1	12
29464914	3	2
29465822	0	2
29467127	4	0
29476288	1	0
29674300	1	0
29674600	1	1
29753784	0	1
29789561	1	1
29802040	2	1
29817427	1	2
29823177	0	0
29827285	2	1
29827832	2	1
29831715	0	0
29869678	0	0
29882480	0	0
29911696	0	0
29916333	0	0
29952206	0	0
29984962	0	0
30003645	0	0
30006615	0	0
30016830	0	0
30034655	0	2
30035748	0	1
30064411	5	0
30087299	0	1
30097114	0	1
30103635	0	0
30116131	0	0
30125426	1	0
30194148	0	0
30204255	3	2
30205208	0	2
30205754	4	0
30215637	1	0
30362087	1	0
30368423	0	0
30382255	0	0
30389427	0	2
30389454	0	0
30389755	0	0
