start	dup	noortho
65579591	0	1
65670186	0	0
66093868	0	0
66147151	0	0
66386212	0	0
66452664	1	1
66460160	0	0
69063905	1	0
70597155	2	0
71244476	2	1
72349936	12	0
72430016	2	0
72716514	0	0
72726535	2	0
72742167	0	0
72848109	0	4
72854728	0	0
72950686	1	0
72983262	0	0
73007524	1	0
73082155	0	1
73095299	0	2
73097355	1	0
73113536	0	0
73150424	0	0
73183328	0	4
73213872	0	0
73248920	1	2
73275489	0	0
73442119	0	4
73497263	0	1
73588575	0	0
73613982	0	1
73645829	1	0
73703805	0	1
73868120	1	0
74071994	1	0
74188309	0	1
74210483	0	2
74379083	2	0
74441226	0	0
74508364	0	2
74807499	2	0
75024337	2	0
75046066	12	0
75162621	0	0
75398851	2	4
75440983	1	0
