start	dup	noortho
45493146	0	10
45495923	0	1
45798102	3	0
45869661	0	0
45950035	0	0
46111043	0	0
46222648	1	0
46310876	0	0
46321042	4	8
46549955	0	1
46955444	0	0
46994087	0	0
47083534	0	1
47157983	1	0
47177204	0	0
47191844	4	8
47657581	3	1
47746936	1	0
47894023	1	0
48001603	1	0
48189612	4	8
48247669	0	0
48255253	1	0
48355024	0	6
48381487	0	0
48413092	0	0
48425815	0	1
48736874	0	1
49199649	0	0
49364601	0	2
49514698	1	0
49654077	1	1
49892921	1	1
50117528	0	1
50222290	1	0
50339199	1	1
50362773	0	1
50507187	1	0
50572237	0	0
50663414	0	0
50723151	0	13
50723247	0	13
50817141	0	0
50818347	0	4
50887697	0	1
50942689	0	0
51026325	1	0
51187938	1	0
51224681	4	8
51371390	3	1
51464162	4	8
51549498	1	2
51565108	4	0
51592080	3	1
51748078	4	8
51827648	1	0
51942538	1	0
52065360	0	0
52499078	1	0
52559169	0	0
52750945	0	1
53455247	2	0
54074056	1	1
54525140	1	1
55562531	1	0
58116989	1	0
59951278	1	2
60028818	3	0
